label,text
spam,"Exclusive deal just for you Anjali! Get shoes absolutely FREE, just pay shipping. Order now!"
ham,"Urgent: please submit your shoes feedback form before 11 AM today, it closes soon."
spam,You have been selected to receive a FREE furniture. Reply YES to claim your prize now.
spam,"This is not a scam! Guaranteed $100 income, work only 2 hours a week. Join today."
ham,Let's sync up about the the research paper presentation before the the placement cell review on Wednesday.
ham,"Thanks for the feedback on my the marketing plan report, I will make the corrections by Sunday."
spam,"Exclusive deal just for you Anjali! Get watches absolutely FREE, just pay shipping. Order now!"
spam,CONGRATULATIONS! Your mobile number has won $5000 in the Google lottery. Contact us immediately.
ham,"Hi Rahul, just checking in about the the internship report internship interview scheduled for Monday at 2 PM."
ham,Thanks for sending over the invoice. I have processed the payment of $5000 today.
spam,FREE entry into our $10000 weekly draw just by texting WIN to 80087 now!
spam,Congratulations Emma! You have WON a smartwatch worth $250. Claim now before it expires!
ham,Reminder: electricity bill of $500 is due on Monday. You can pay it online via the portal.
ham,"Great job on the watches hackathon submission, the the university panel really liked the idea."
spam,Your prize of $250 cash is waiting! Click bit.ly/claim-now now to claim before midnight tonight.
ham,"Reminder: your free trial for the Amazon software ends on Wednesday, upgrade if you'd like to continue."
ham,"Urgent: please submit your textbooks feedback form before 11 AM today, it closes soon."
spam,"Exclusive deal just for you Ravi! Get the marketing plan absolutely FREE, just pay shipping. Order now!"
spam,Congratulations Amit! You have WON a smartwatch worth $5000. Claim now before it expires!
ham,"The the college placement drive is scheduled for Sunday, please carry your resume and ID card."
spam,"Dear John, you have inherited $5000 from a relative abroad. Contact us to claim your funds."
spam,"Make $100 a day from home with this secret system! No boss, no schedule, click www.free-prize-win.net now."
ham,"Urgent: please submit your furniture feedback form before 5 PM today, it closes soon."
ham,"Hi Sneha, just checking in about the the marketing plan internship interview scheduled for Monday at 2 PM."
spam,Get rich quick! Earn $1000 per week working from home. No experience required. Sign up now!
spam,CONGRATULATIONS! Your mobile number has won $5000 in the the college lottery. Contact us immediately.
ham,"Team, the sprint review for the internship report is at 2 PM on next week, please prepare your updates."
spam,Cheap the marketing plan at unbeatable prices! 90% OFF today only. Order now at secure-verify-account.com before stock runs out.
spam,"Dear John, you have inherited $250 from a relative abroad. Contact us to claim your funds."
spam,"Dear Karan, you have inherited $100 from a relative abroad. Contact us to claim your funds."
ham,"Hey Amit, are we still on for lunch on tomorrow? I was thinking the cafe near the office."
ham,"Hi Emma, thanks for your help with the the internship report project, really appreciate the effort."
ham,Reminder: electricity bill of $100 is due on Tuesday. You can pay it online via the portal.
ham,"The professor extended the textbooks lab submission deadline to Monday, please plan accordingly."
ham,"Urgent: please submit your watches feedback form before 5 PM today, it closes soon."
spam,Your PayPal account has been limited. Verify your identity now at login-update-secure.com to restore access.
ham,Your flight to the Google conference is confirmed for tomorrow. Boarding passes are attached.
